id,symbol,signal_type,would_have_opened,actual_blocked_by,linked_auto_short_id,linked_canceled_signal_id,entry_price,signal_price,entry_ts,leverage,tp_pct,sl_pct,tp_price,sl_price,score,entry_score,triggered_count,status,close_reason,exit_price,exit_ts,pnl_pct,ml_label,f_rsi_5m,f_large_sell_cluster,f_rsi,f_vwap_extension,f_volume_zscore,f_trade_imbalance,f_large_buy_cluster,f_price_acceleration,f_consecutive_greens,f_ob_bid_thinning,f_spread_expansion,f_momentum_loss,f_upper_wick,f_funding_rate,f_cvd_divergence,f_liquidation_cascade,volume_24h_usdt,price_change_5m,price_change_1h,spread_pct,bid_depth_change_5m,realized_vol_1h,btc_change_15m,funding_rate_at_signal,oi_change_pct_at_signal,trend_strength_1h,ob_snapshot,ob_bid_volume_top10,ob_ask_volume_top10,ob_imbalance_top10,ob_spread_bps,ob_bid_wall_price,ob_bid_wall_size,ob_ask_wall_price,ob_ask_wall_size,spread_pct_z,bid_depth_change_5m_z,realized_vol_1h_z,volume_24h_usdt_z,oi_change_pct_z,btc_change_1h,btc_change_4h,btc_change_24h,btc_adx_1h,btc_atr_pct_1h,recent_wr_20,adverse_move_pct
28,BUSDT,early_warning,False,score_dropped,,1403,0.33664,0.33664,2026-05-02T18:42:30.290539+00:00,10,10.0,10.0,0.3332736,0.3400064,45.26952348533643,45.26952348533643,7,closed,sl_hit,0.3434,2026-05-02T18:43:13.008992+00:00,-10.0,0,45.353174764950644,31.0,56.777575345475825,2.2552087974513584,0.04726968493082711,0.2735009062180421,69.0,1.531519804367144,5.0,-55.21748934477615,0.0029673150249861246,0.0,0.1622103386809307,0.00219791,-1.0,0.5806675591662019,0.0,0.0,-5.399657515328955,0.0029673150249861246,-55.21748934477615,1.3348641412076478,-0.0945704319992723,0.00219791,-1.3166753356566474,-1.0,,,,,,,,,,,,,,,,,,,,,
29,BUSDT,overheated,False,cancel_drop,,1404,0.34843,0.34843,2026-05-02T18:44:40.363051+00:00,10,10.0,10.0,0.3449457,0.3519143,50.06969618084865,50.06969618084865,7,closed,tp_hit,0.34429,2026-05-02T18:47:43.166153+00:00,10.0,1,49.98279804093351,38.0,64.87002362945151,4.465204364463895,0.0,0.33048910451462216,62.0,1.088045399848478,1.0,-30.56927805304691,0.0028644677102746996,0.0,0.14715719063544916,0.00219791,-1.0,0.6289034399954121,0.0,0.0,-1.5605336018122253,0.0028644677102746996,-30.56927805304691,1.3954465040131843,-0.0945704319992723,0.00219791,0.42352034284454376,-1.0,,,,,,,,,,,,,,,,,,,,,
30,BRUSDT,early_warning,False,score_dropped,,1405,0.16645,0.16645,2026-05-02T18:45:55.702763+00:00,10,10.0,10.0,0.16478549999999997,0.1681145,45.3691876939596,45.3691876939596,6,closed,tp_hit,0.16461,2026-05-02T18:57:13.573445+00:00,10.0,1,62.055386338079785,16.0,71.74500605666296,0.8182194569224797,0.0,0.0,15.0,-0.01517942665381794,2.0,-39.09950886912788,0.05997720866071898,0.0,0.4285714285714739,5e-05,1.0,0.5962868277196227,0.0,0.4639672210171083,2.5284371909001053,0.05997720866071898,-39.09950886912788,0.35428591654008496,-0.01786436607658964,5e-05,-0.01837427617201456,-1.0,,,,,,,,,,,,,,,,,,,,,
31,PENDLEUSDT,overheated,False,already_open,,1406,1.6047,1.6047,2026-05-02T18:47:57.063068+00:00,10,10.0,10.0,1.588653,1.620747,53.95077690900942,53.95077690900942,9,closed,sl_hit,1.6235,2026-05-02T22:02:19.661489+00:00,-10.0,0,76.96721836496127,6.0,84.00515886326822,0.3201545411227825,2.1600889990007044,0.43780024924816247,33.0,-0.0678013791792289,7.0,-22.372702105050816,0.043628657795501444,0.0,6.000000000000634,0.0001,-0.0,0.7280373831775702,0.0,0.5766217486681352,2.1019108280254724,0.043628657795501444,-22.372702105050816,0.11473882733313495,-0.01786436607658964,0.0001,-0.003673284987867861,-1.0,,,,,,,,,,,,,,,,,,,,,
32,PENDLEUSDT,overheated,False,duplicate,,,1.6047,1.6047,2026-05-02T18:47:57.073420+00:00,10,10.0,10.0,1.588653,1.620747,53.95077690900942,53.95077690900942,9,closed,sl_hit,1.6235,2026-05-02T22:02:19.645683+00:00,-10.0,0,76.96721836496127,6.0,84.00515886326822,0.3201545411227825,2.1600889990007044,0.43780024924816247,33.0,-0.0678013791792289,7.0,-22.372702105050816,0.043628657795501444,0.0,6.000000000000634,0.0001,-0.0,0.7280373831775702,0.0,0.5766217486681352,2.1019108280254724,0.043628657795501444,-22.372702105050816,0.11473882733313495,-0.01786436607658964,0.0001,-0.003673284987867861,-1.0,,,,,,,,,,,,,,,,,,,,,
33,ZECUSDT,early_warning,True,,912,,381.38,381.38,2026-05-02T18:49:54.447506+00:00,10,10.0,10.0,377.5662,385.1938,46.787125293479114,46.787125293479114,7,closed,sl_hit,387.57,2026-05-02T20:45:29.079165+00:00,-10.0,0,68.51471813345515,32.0,64.974377256986,0.11521783379362352,0.0,0.0,21.0,-0.04942734781443761,6.0,3.2659798422727584,0.002622091117663954,0.0,0.0,0.0001,1.0,0.6633461362710016,0.0,0.26550998948476545,1.2922913626111194,0.002622091117663954,3.2659798422727584,0.11239115322393975,-0.01786436607658964,0.0001,0.04668886919752606,-1.0,,,,,,,,,,,,,,,,,,,,,
34,LDOUSDT,overheated,False,score_dropped,,1407,0.3753,0.3753,2026-05-02T18:50:04.801334+00:00,10,10.0,10.0,0.371547,0.37905300000000003,46.17469880002318,46.17469880002318,7,closed,tp_hit,0.3713,2026-05-03T00:11:26.313594+00:00,10.0,1,63.96060530144625,2.0,78.43856879929852,0.25694851328080437,1.6182099198647366,0.45288605549367655,15.0,0.037245043839148145,4.0,-0.258922633423055,0.026641800985743702,0.0,0.0,0.0,-0.0,0.5999999999999823,0.0,0.24032042723631827,0.7244432519452739,0.026641800985743702,-0.258922633423055,0.0627636871413252,-0.01786436607658964,-9.387e-05,0.28369495808099465,-0.3,,,,,,,,,,,,,,,,,,,,,
35,DASHUSDT,overheated,False,score_dropped,,1408,37.81,37.81,2026-05-02T18:50:37.221106+00:00,10,10.0,10.0,37.4319,38.188100000000006,45.4960046513576,45.4960046513576,6,closed,tp_hit,37.43,2026-05-02T22:39:25.851693+00:00,10.0,1,76.57636077301535,3.0,80.07780278748704,0.314088694444753,3.0656223457893184,0.0,7.0,0.026048934226130152,2.0,-6.838404884912262,0.026479544551847256,0.0,0.8000000000001706,0.0001,1.0,0.36411448505818284,0.0,0.505857294994669,1.6129032258064364,0.026479544551847256,-6.838404884912262,0.10673379444403318,-0.01786436607658964,0.0001,0.013456026707935151,-1.0,,,,,,,,,,,,,,,,,,,,,
36,RENDERUSDT,overheated,False,trend_filter_blocked,,1409,1.7353,1.7353,2026-05-02T18:51:01.559093+00:00,10,10.0,10.0,1.7179470000000001,1.752653,47.72758788411991,47.72758788411991,7,closed,sl_hit,1.7667,2026-05-02T20:45:29.070431+00:00,-10.0,0,71.80126798901455,0.0,90.6381423953502,0.15632048402530635,10.307974071597641,0.530931151888394,7.0,0.12672999251905703,7.0,0.8409695891243744,0.005760534577608168,0.0,0.06896551724137404,0.0,-0.0,0.6769284024692862,0.0,0.19631618453721747,1.1052294805421385,0.005760534577608168,0.8409695891243744,0.04247752859819309,-0.01786436607658964,-2.041e-05,0.004585409724827932,-0.3,,,,,,,,,,,,,,,,,,,,,
37,ONDOUSDT,overheated,True,,913,,0.2848,0.2848,2026-05-02T18:51:21.420374+00:00,10,10.0,10.0,0.281952,0.287648,45.557019923662224,45.557019923662224,6,closed,tp_hit,0.2819,2026-05-02T22:25:55.277851+00:00,10.0,1,59.709905528893984,4.0,80.28879235434455,0.31387845625158006,2.834982209692931,0.6624761218755105,18.0,0.16847757873975314,2.0,0.008106173114209659,0.03511852502194521,0.0,0.0,5e-05,-0.0,0.741331091923318,0.0,0.17587055926837863,0.9193776520509163,0.03511852502194521,0.008106173114209659,0.0864438378540028,-0.01786436607658964,5e-05,0.06119111316515775,-1.0,,,,,,,,,,,,,,,,,,,,,
