id,symbol,signal_type,cancel_reason,signal_ts,decision_ts,signal_price,final_price,price_change_pct,score,final_score,min_score_at_entry,entry_mode_candidate,triggered_count,entry_delay_sec,monitor_attempts,monitor_interval_sec,stabilization_threshold_pct,max_rise_pct,max_entry_drop_pct,f_rsi,f_vwap_extension,f_volume_zscore,f_trade_imbalance,f_large_buy_cluster,f_price_acceleration,f_consecutive_greens,f_ob_bid_thinning,f_spread_expansion,f_momentum_loss,f_upper_wick,f_funding_rate,f_rsi_5m,f_large_sell_cluster,f_cvd_divergence,f_liquidation_cascade,realized_vol_1h,volume_24h_usdt,price_change_5m,price_change_1h,spread_pct,bid_depth_change_5m,btc_change_15m,funding_rate_at_signal,oi_change_pct_at_signal,trend_strength_1h
35,ASTERUSDT,overheated,score_dropped,2026-04-13 14:57:11.623358+00,2026-04-13 14:57:11.623363+00,0.6623,0.6622,-0.015098897780460363,45.237473851695526,39,45,direct,7,30,24,5,0.2,0.8,-0.3,66.57880244980072,0.10910335355506484,1.618321257430008,0,4,-0.024166906936492535,0,0,0,0,0,5e-05,65.83615929663921,11,1,0.5738612836438873,0.04340654351845394,0,0.10580411124547068,0.31813361611876845,0,0,-0.10705374486772581,5e-05,-0.25233138562806356,1
36,XLMUSDT,early_warning,score_dropped,2026-04-13 15:00:00.209637+00,2026-04-13 15:00:00.20964+00,0.15335,0.15336,0.006521030322797524,45.10560319330698,30.1,45,direct,6,30,24,5,0.2,0.8,-0.3,54.39404047509536,0.08997288320383653,2.2877886038465287,0,9,-0.018428518970596615,2,0,0,0,0,7.811e-05,56.03555571576579,16,1,0.7802766334395848,0.08792519936509416,0,0.3993714809480159,-0.18944342827278857,0,0,-0.39072343371408386,7.811e-05,0.23363467998899815,1
37,1000BONKUSDT,overheated,score_dropped,2026-04-13 15:00:11.384248+00,2026-04-13 15:00:11.384252+00,0.005763,0.005761,-0.034704147145588504,50.25971495244242,37.3,45,direct,8,30,24,5,0.2,0.8,-0.3,75.18953854864911,0.3902174312815737,1.9291837473986173,0.41708978110115197,38,-0.12574176014423993,3,0,0,0,2,5e-05,74.66322046505053,9,-0,0.5833785819080725,0.13071449592470036,0,0.5934718100890238,0.7165326808808151,0,0,-0.39072343371408386,5e-05,0.10059639540868306,1
38,ENAUSDT,overheated,score_dropped,2026-04-13 15:00:27.715675+00,2026-04-13 15:00:27.715679+00,0.09518,0.09521,0.03151922672830663,45.96887442358578,44.5,45,direct,6,30,24,5,0.2,0.8,-0.3,73.73363938475556,0.5873406060523543,2.1620518676963316,0.531644611364667,87,0.4762573035720619,3,0,0,0,0.2500000000000062,5e-05,69.89213316873585,13,-1,0.42309011426838833,0.2321127391505504,0,0,1.1829905147607374,0,0,-0.5053368774219165,5e-05,0.09910702515290971,1
39,WLFIUSDT,overheated,score_dropped,2026-04-13 15:00:38.773643+00,2026-04-13 15:00:38.773649+00,0.08012,0.08001,-0.1372940589116313,45.74120798992868,44.4,45,direct,7,30,24,5,0.2,0.8,-0.3,71.1135883912429,0.13773722986577575,5.484500249383978,0.6343029710794688,84,0.17992453893222798,4,0,0,0,3.3499999999998544,5e-05,67.72569634518194,16,-1,0.35833333333333334,0.1350833108696672,0,0,0.9829867674858259,0,0,-0.5053368774219165,5e-05,0.14314366260669553,-0.3
40,ICPUSDT,early_warning,score_dropped,2026-04-13 15:00:51.200154+00,2026-04-13 15:00:51.200158+00,2.462,2.46,-0.08123476848091891,45,38,45,direct,6,30,24,5,0.2,0.8,-0.3,68.98050896588018,0.24644627618000403,0.15265298863791926,0,5,-0.04089257802091026,3,0,0,0,0,0.0001,70.94742985281025,6,1,0.6354151795029895,0.08980244353366813,0,0.28513238289206183,0.3262642740619905,0,0,-0.5053368774219165,0.0001,-0.0806767769618246,0.3
41,SHIB1000USDT,overheated,score_dropped,2026-04-13 15:01:03.133401+00,2026-04-13 15:01:03.133485+00,0.00582,0.005816,-0.06872852233676399,45.13151126745006,42,45,direct,7,30,24,5,0.2,0.8,-0.3,63.10876686354364,0.0351789744148025,44.96557074882155,0.8325467815060467,79,0.05503889362856815,2,0,0,0,0,0.0001,64.32239853925117,10,-0,0.7224918869442484,0.07801031719359242,0,0.17211703958691207,0.13776476666092982,0,0,-0.5053368774219165,0.0001,-0.010891811325839607,1
42,APTUSDT,overheated,score_dropped,2026-04-13 15:01:03.693592+00,2026-04-13 15:01:03.693596+00,0.8425,0.8406,-0.2255192878338294,46.66799915645671,37.2,45,direct,8,30,24,5,0.2,0.8,-0.3,63.4581931456661,0.31302669819958007,2.217985286878222,0.4322824067109323,70,0.10427494967194416,3,0,0,0,0.7333333333332988,0,62.574264710962055,27,-0,0.5565686400041532,0.14964093074263207,0,0.4650608156451246,-0.28378857750975023,0,0,-0.5053368774219165,-0.00067232,0.6438116806353966,1
43,LDOUSDT,overheated,score_dropped,2026-04-13 15:01:15.25847+00,2026-04-13 15:01:15.258474+00,0.3122,0.3123,0.03203074951955301,48.65798500398526,36.9,45,direct,7,30,24,5,0.2,0.8,-0.3,63.3137003560436,0.23558758506307914,1.6287471581897042,0,7,0.307988249108762,2,0,0,0,0.0909090909091322,0.0001,72.0288005151796,10,1,0.7545745361484542,0.13385532370110692,4143822.5298,0.1604106512672443,0.44972695149372205,0,0,-0.5053368774219165,0.0001,-0.20560126952548605,1
44,IPUSDT,overheated,score_dropped,2026-04-13 15:01:15.739255+00,2026-04-13 15:01:15.73926+00,0.4821,0.4814,-0.14519809168221914,48.23372278669123,42.9,45,direct,7,30,24,5,0.2,0.8,-0.3,71.14938006671966,0.38612789712523204,6.4660552964595785,0.6108947205814943,59,0.33816261197654607,4,0,0,0,0,0,62.71592823970744,9,-0,0.8133333333333332,0.14139139968212003,0,1.132787916928878,0.7334450963956418,0,0,-0.5053368774219165,-8.99e-05,-0.06058704259624192,1
