trade_id,symbol,signal_type,entry_ts,close_reason,signal_price,entry_price,exit_price,price_change_at_entry,pnl_pct,ml_label,signal_score,final_score,min_score_at_entry,entry_mode,triggered_count,entry_delay_sec,f_rsi,f_vwap_extension,f_volume_zscore,f_trade_imbalance,f_large_buy_cluster,f_price_acceleration,f_consecutive_greens,f_ob_bid_thinning,f_spread_expansion,f_momentum_loss,f_upper_wick,f_funding_rate,f_rsi_5m,f_large_sell_cluster,f_cvd_divergence,f_liquidation_cascade,realized_vol_1h,volume_24h_usdt,price_change_5m,price_change_1h,spread_pct,bid_depth_change_5m,btc_change_15m,funding_rate_at_signal,oi_change_pct_at_signal,trend_strength_1h
41,ROSEUSDT,early_warning,2026-04-12 17:55:16.773475+00,tp_hit,0.010814,0.010819,0.010709,0.046236360273717365,10.16729827155936,1,46.18807794032452,45.8,45,,7,60,72.42791714395602,0.3348135093357916,1.2708245455641842,0.3411575405260282,5,-0.07078637596472209,5,0,0,0,2.7499999999993494,0.0001,68.13063231000318,2,-0,0.6264508969853633,0.09069966293138554,0,0.7640700708162549,1.1599625818522064,0,0,-0.20150970565240056,0.0001,0.22507686783954042,-1
40,FILUSDT,early_warning,2026-04-12 17:53:43.059386+00,tp_hit,0.8784,0.8782,0.869,-0.02276867030965141,10.475973582327471,1,47.60199387790413,50.7,45,,7,60,80.15502484720837,0.4577702915954397,1.0481955611919134,0,14,-0.05985115425951773,5,0,0,0,0.33333333333327164,0,80.23657996929124,26,1,0.5063152915696304,0.09391566324815732,0,0.8033050263943088,1.6545181071387356,0,0,-0.13199425304340037,-7.065e-05,0.0012332392160749077,0.3
43,GMTUSDT,early_warning,2026-04-12 18:03:28.588421+00,tp_hit,0.010713,0.010699,0.010592,-0.13068234854849362,10.000934666791238,1,45,48.1,45,,6,60,73.99788158941749,0.2113093612376234,0,0,9,-0.18685899120498872,0,0,0,0,0.08333333333341766,0.0001,71.95122106140045,6,1,0.7059191705763597,0.09337660111244309,3232266.8086,0.1776697213390679,1.7397090978229786,0,0,0.056290458767238954,0.0001,-0.060189523837607666,-1
39,SPXUSDT,overheated,2026-04-12 17:53:18.311737+00,tp_hit,0.3053,0.3055,0.3024,0.06550933508024172,10.147299509001611,1,45.521263067341565,52.8,45,,6,60,82.94790179356497,0.7077088058193818,4.75774045205342,0.5610914256561017,13,0.9192376575429145,4,0,0,0,0,5e-05,56.96927734672937,5,-0,0.3857142857142857,0.15092912194863523,0,1.1597084161696496,1.9365609348914952,0,0,-0.13199425304340037,5e-05,0.03939332350998425,-1
81,BANUSDT,early_warning,2026-04-13 06:58:46.231254+00,tp_hit,0.09343,0.0936,0.09235,0.18195440436690943,13.354700854700868,1,49.012888414158134,47.3,45,,7,30,72.20472900479142,2.448738765024811,0,0,32,0.001424007824320117,4,0,0,0.7,0.13888888888891246,0.00015428,68.63225391582736,33,1,0.7616822429906542,0.9797268127344192,11194418.4708,2.0981313517648403,5.607794267588077,0,0,0.009012573948885653,0.00015428,-0.19194559430273883,-1
78,WETUSDT,overheated,2026-04-13 06:50:49.866426+00,tp_hit,0.10978,0.10969,0.10854,-0.08198214611040876,10.484091530677349,1,49.595810758306996,46.9,45,,7,30,73.56179638929284,0.5796463639954358,2.768680917502448,0.4768044892084296,40,-0.12063654036252494,9,0,0,0,1.799999999999556,5e-05,62.13883442778381,7,-0,0.7697674418604652,0.253343013784402,8830259.3766,1.7329255861365922,0.7140869887786393,0,0,-0.023931763503497554,5e-05,-1.1093776233639123,-0.3
82,LABUSDT,overheated,2026-04-13 07:04:40.734163+00,tp_hit,0.54917,0.54922,0.54282,0.00910464883369348,11.65288955245634,1,47.55593559454794,47.6,45,,7,30,68.73594183151059,1.4349193643147835,2.258102434128392,0.13933553470833507,34,-0.11988197731828407,6,0,0,0.7,0.02941176470582953,5e-05,60.33832334974372,30,-0,0.7814814814814814,0.2940535746941821,0,2.5604153438165316,0.943431129527564,0,0,0.014087701577399945,5e-05,-0.04607373728598136,0.3
83,AIOUSDT,overheated,2026-04-13 07:16:39.815704+00,tp_hit,0.11508,0.1152,0.1136,0.10427528675703433,13.888888888888804,1,46.61141581619743,48.6,45,,9,30,60.90498681811371,2.9393278245278083,1.6457818612396427,0.41070979924079515,19,-0.624747314539224,6,0,0,0.7,11.999999999999075,5e-05,49.45986694552291,8,-0,0.7410958904109589,0.6160876710020431,0,3.5543957527220322,0.09616225194509921,0,0,-0.011428845559619519,5e-05,-0.4646072935794594,-1
84,0GUSDT,overheated,2026-04-13 07:20:44.242562+00,sl_hit,0.6227,0.6227,0.6292,0,-10.438413361169022,0,48.71787795101731,45,45,,7,30,69.69673907540461,0.7022985080985882,1.608159037520188,0,10,-0.03552819332212025,1,0,0,0,1,0,52.60329046394418,19,1,0.6301472949108795,0.16825781622530628,27239016.901,0.16084928422068534,1.2353706111833633,0,0,0.05873748298588503,-0.00513141,0.3564950304067062,-0.3
8,CFGUSDT,early_warning,2026-04-12 08:36:40.045324+00,tp_hit,0.2114,0.2113,0.2091,-0.04730368968780357,10.411736867013628,1,45.43123959180974,,50,direct,7,15,67.2734976652224,0.9730795748739075,0.9747575280256534,0,16,-0.31276040091111523,0,0,0,0,0,0,64.57553744373371,17,1,0.6151608111943159,0.31519605718120197,0,0.5230622919638696,,0,0,0.01939964382811382,,0.8764115251099353,0.3
